Rank;Utente;Punti
1;Giada;21
2;Gianmarco;19
3;Gabriele B.;17
4;Alice;15
5;Andrea;14
6;Leonardo;9
7;Giacomo;3
8;Sara;2
8;Elena;2
8;Alessandro;2
8;Gabriele M.;2
12;Federica;1
12;Eleonora;1
12;Gianluca;1
12;Moncho;1
